date;Bangladesh;Bangladesh_filter
2020-09-27;359148;359277.19999999995
2020-09-28;360555;360619.5999999999
2020-09-29;362043;362042.3999999999
2020-09-30;363479;363489.3999999999
2020-10-01;364987;364891.3999999999
2020-10-02;366383;366220.79999999993
2020-10-03;367565;367551.3999999999
2020-10-04;368690;368880.19999999995
2020-10-05;370132;370233.79999999993
2020-10-06;371631;371639.19999999995
2020-10-07;373151;373075.19999999995
2020-10-08;374592;374463.3999999999
2020-10-09;375870;375790.3999999999
2020-10-10;377073;377107.79999999993
2020-10-11;378266;378444.3999999999
2020-10-12;379738;379862.1999999999
2020-10-13;381275;381359.3999999999
2020-10-14;382959;382923.3999999999
2020-10-15;384559;384434.79999999993
2020-10-16;386086;385893.6
2020-10-17;387295;387342.99999999994
2020-10-18;388569;388748.3999999999
2020-10-19;390206;390157.3999999999
2020-10-20;391586;391663.79999999993
2020-10-21;393131;393232.5999999999
2020-10-22;394827;394692.79999999993
2020-10-23;396413;396138.59999999986
2020-10-24;397507;397562.6
2020-10-25;398815;398914.3999999999
2020-10-26;400251;400247.5999999999
2020-10-27;401586;401698.19999999995
2020-10-28;403079;403207.9999999999
2020-10-29;404760;404694.6
2020-10-30;406364;406227.79999999993
2020-10-31;407684;407809.5999999999
2020-11-01;409252;409386.9999999999
2020-11-02;410988;410946.9999999999
2020-11-03;412647;412611.3999999999
2020-11-04;414164;414255.99999999994
2020-11-05;416006;415811.19999999995
2020-11-06;417475;417329.3999999999
2020-11-07;418764;418880.79999999993
2020-11-08;420238;420403.6
2020-11-09;421921;421979.19999999995
2020-11-10;423620;423665.9999999999
2020-11-11;425353;425411.3999999999
2020-11-12;427198;427126.3999999999
2020-11-13;428965;428868.9999999999
2020-11-14;430496;430692.79999999993
2020-11-15;432333;432589.9999999999
2020-11-16;434472;434555.9999999999
2020-11-17;436684;436688.5999999999
2020-11-18;438795;438908.79999999993
2020-11-19;441159;441070.59999999986
2020-11-20;443434;443201.9999999999
2020-11-21;445281;445394.9999999999
2020-11-22;447341;447561.1999999999
2020-11-23;449760;449703.5999999999
2020-11-24;451990;451934.9999999999
2020-11-25;454146;454208.9999999999
2020-11-26;456438;456380.79999999993
2020-11-27;458711;458464.1999999999
2020-11-28;460619;460621.3999999999
2020-11-29;462407;462778.79999999993
2020-11-30;464932;464921.1999999999
2020-12-01;467225;467145.19999999995
2020-12-02;469423;469461.9999999999
2020-12-03;471739;471633.3999999999
2020-12-04;473991;473697.3999999999
2020-12-05;475789;475761.3999999999
2020-12-06;477545;477802.5999999999
2020-12-07;479743;479825.19999999995
2020-12-08;481945;481860.3999999999
2020-12-09;484104;483921.19999999995
2020-12-10;485965;485808.19999999984
2020-12-11;487849;487525.79999999993
2020-12-12;489178;489171.3999999999
2020-12-13;490533;490820.19999999995
2020-12-14;492332;492418.5999999999
2020-12-15;494209;493977.9999999999
2020-12-16;495841;495529.9999999999
2020-12-17;496975;496975.59999999986
2020-12-18;498293;498276.3999999999
2020-12-19;499560;499544.7999999999
2020-12-20;500713;500849.9999999999
2020-12-21;502183;502164.9999999999
2020-12-22;503501;503473.3999999999
2020-12-23;504868;504783.79999999993
2020-12-24;506102;505966.9999999999
2020-12-25;507265;507096.3999999999
2020-12-26;508099;508138.79999999993
2020-12-27;509148;509170.59999999986
2020-12-28;510080;510216.79999999993
2020-12-29;511261;511298.9999999999
2020-12-30;512496;512369.3999999999
2020-12-31;513510;513390.1999999999
2021-01-01;514500;514341.79999999993
2021-01-02;515184;515228.3999999999
2021-01-03;516019;516110.3999999999
2021-01-04;516929;516989.9999999999
2021-01-05;517920;517934.1999999999
2021-01-06;518898;518868.3999999999
2021-01-07;519905;519758.9999999999
2021-01-08;520690;520665.5999999999
2021-01-09;521382;521546.3999999999
2021-01-10;522453;522369.3999999999
2021-01-11;523302;523213.3999999999
2021-01-12;524020;524081.5999999999
2021-01-13;524910;524887.9999999999
2021-01-14;525723;525640.2
2021-01-15;526485;526362.5999999999
2021-01-16;527063;527046.3999999999
2021-01-17;527632;527708.0
2021-01-18;528329;528348.3999999999
2021-01-19;529031;528989.9999999999
2021-01-20;529687;529641.5999999999
2021-01-21;530271;530241.0
2021-01-22;530890;530794.5999999999
2021-01-23;531326;531337.3999999999
2021-01-24;531799;531866.3999999999
2021-01-25;532401;532377.2
2021-01-26;532916;532902.5999999999
2021-01-27;533444;533424.1999999998
2021-01-28;533953;533897.9999999999
2021-01-29;534407;534342.5999999999
2021-01-30;534770;534770.2
2021-01-31;535139;535201.0
2021-02-01;535582;535628.5999999999
2021-02-02;536107;536080.5999999999
2021-02-03;536545;536545.7999999999
2021-02-04;537030;536983.3999999999
2021-02-05;537465;537374.3999999999
2021-02-06;537770;537740.9999999999
2021-02-07;538062;538087.9999999999
2021-02-08;538378;538425.5999999999
2021-02-09;538765;538777.7999999998
2021-02-10;539153;539160.3999999999
2021-02-11;539531;539537.9999999999
2021-02-12;539975;539903.3999999999
2021-02-13;540266;540280.3999999999
2021-02-14;540592;540660.9999999999
2021-02-15;541038;541041.3999999999
2021-02-16;541434;541441.7999999998
2021-02-17;541877;541858.2
2021-02-18;542268;542255.3999999999
2021-02-19;542674;542638.7999999998
2021-02-20;543024;543006.7999999998
2021-02-21;543351;543376.3999999999
2021-02-22;543717;543750.3999999999
2021-02-23;544116;544136.3999999999
2021-02-24;544544;544550.9999999999
2021-02-25;544954;544973.7999999999
2021-02-26;545424;545393.7999999998
2021-02-27;545831;545845.2
2021-02-28;546216;546317.5999999999
2021-03-01;546801;546818.7999999999
2021-03-02;547316;547362.3999999999
2021-03-03;547930;547955.9999999999
2021-03-04;548549;548540.5999999999
2021-03-05;549184;549143.3999999999
2021-03-06;549724;549792.3999999999
2021-03-07;550330;550499.9999999999
2021-03-08;551175;551284.2
2021-03-09;552087;552170.5999999999
2021-03-10;553105;553148.9999999999
2021-03-11;554156;554161.2
2021-03-12;555222;555222.7999999998
2021-03-13;556236;556435.3999999999
2021-03-14;557395;557781.5999999999
2021-03-15;559168;559287.5999999999
2021-03-16;560887;561028.2
2021-03-17;562752;562916.7999999999
2021-03-18;564939;564824.3999999999
2021-03-19;566838;566822.5999999999
2021-03-20;568706;569009.5999999999
2021-03-21;570878;571469.9999999999
2021-03-22;573687;574263.9999999999
2021-03-23;577241;577401.7999999998
2021-03-24;580808;580852.5999999999
2021-03-25;584395;584476.3999999999
2021-03-26;588132;588170.9999999999
2021-03-27;591806;592188.3999999999
2021-03-28;595714;596496.7999999999
2021-03-29;600895;601129.3999999999
2021-03-30;605937;606320.9999999999
2021-03-31;611295;612096.9999999999
2021-04-01;617764;617973.3999999999
2021-04-02;624594;624258.7999999998
2021-04-03;630277;630887.5999999999
2021-04-04;637364;637665.2
2021-04-05;644439;644601.9999999999
2021-04-06;651652;651772.9999999999
2021-04-07;659278;659018.9999999998
2021-04-08;666132;665918.5999999999
2021-04-09;673594;672539.3999999999
2021-04-10;678937;679075.2
2021-04-11;684756;685445.7999999998
2021-04-12;691957;691360.9999999999
2021-04-13;697985;697045.9999999999
2021-04-14;703170;702450.5999999999
2021-04-15;707362;707109.5999999999
2021-04-16;711779;711302.5999999999
2021-04-17;715252;715312.7999999998
2021-04-18;718950;719396.3999999999
2021-04-19;723221;723452.5999999999
2021-04-20;727780;727616.9999999999
2021-04-21;732060;731767.5999999999
2021-04-22;736074;735603.3999999999
2021-04-23;739703;739111.7999999998
2021-04-24;742400;742425.3999999999
2021-04-25;745322;745542.3999999999
2021-04-26;748628;748524.5999999999
2021-04-27;751659;751435.5999999999
2021-04-28;754614;754197.5999999999
2021-04-29;756955;756588.7999999998
2021-04-30;759132;758645.5999999999
2021-05-01;760584;760459.1999999998
2021-05-02;761943;762187.3999999999
2021-05-03;763682;763828.5999999999
2021-05-04;765596;765543.7999999998
2021-05-05;767338;767323.5999999999
2021-05-06;769160;769012.5999999999
2021-05-07;770842;770595.9999999999
2021-05-08;772127;772133.7999999998
2021-05-09;773513;773553.1999999998
2021-05-10;775027;774864.2
2021-05-11;776257;776176.1999999998
2021-05-12;777397;777380.5999999999
2021-05-13;778687;778334.3999999998
2021-05-14;779535;779114.7999999998
2021-05-15;779796;779806.7999999998
2021-05-16;780159;780495.1999999998
2021-05-17;780857;781335.5999999999
2021-05-18;782129;782415.1999999998
2021-05-19;783737;783722.9999999998
2021-05-20;785194;785096.7999999998
2021-05-21;786698;786486.9999999998
2021-05-22;787726;787843.7999999998
2021-05-23;789080;789244.1999999998
2021-05-24;790521;790643.1999999998
2021-05-25;792196;792094.9999999999
2021-05-26;793693;793547.5999999999
2021-05-27;794985;794920.5999999999
2021-05-28;796343;796247.3999999999
2021-05-29;797386;797616.7999999998
2021-05-30;798830;799080.7999999998
2021-05-31;800540;800670.7999999998
2021-06-01;802305;802389.5999999999
2021-06-02;804293;804196.9999999998
2021-06-03;805980;805951.7999999998
2021-06-04;807867;807688.7999999998
2021-06-05;809314;809422.1999999998
2021-06-06;810990;811282.5999999999
2021-06-07;812960;813272.9999999998
2021-06-08;815282;815489.1999999998
2021-06-09;817819;817860.9999999998
2021-06-10;820395;820166.1999999998
2021-06-11;822849;822494.2
2021-06-12;824486;824924.7999999998
2021-06-13;826922;827247.4999999998
2021-06-14;829972;829570.1999999996
